Skill Name,Effect,,,Shared Effect,,Relic
Heroism,Passive,-,"Level 1: Gain +10 increased attributes after every skill use. When ally is downed, 50% chance to lose each stack.
Level 2: Each stack reduces MP cost by 5%
Level 3: Each stack reduces damage taken by 5%",-,-,-
Fire Safety,Passive,-,"Level 1: Allies have 50% chance to dodge [Fire] damage.
Level 2: Taken [Fire] damage cannot critically hit
Level 3: Decreases taken [Fire] damage by 35%",-,-,-
Firehose,Column - Any,-,"Level 1: Deals 1.5x Power [Physical] and [Ice] damage to enemies. Charges over time.
Level 2: Also deals [Stun] damage
Level 3: 50% increased damage against one target",-,-,-
Inspire,Self  - Allies,57,"Level 1: Bonus Action. Share 2% of Charlie's attributes with all allies for each stack of Heroism, until Charlie's next turn.
Level 2: Allies gain turn progress for each stack of Heroism
Level 3: Heals allies by 1% missing HP for each stack of Heroism",-,-,-
Protection Runes,Passive,-,"Level 1: Automatically Protects all adjacent allies.
Level 2: Adjacent allies gain Spellscreen on Rock's turn
Level 3: Prevents protected allies being downed 25% of the time",-,-,-
Runic Stones,Passive,-,"Level 1: HP ratio always equal to MP ratio. Lose increasing MP after every turn.
Level 2: Decrease MP loss by 25%
Level 3: Increase Max MP by 10% every turn",-,-,-
Enchanted Core,Passive,-,"Level 1: Regenerate MP while downed and resurrect when at full MP. Gain Free Turns when last alive.
Level 2: Gain 10% of MP cost from [Spell] skills used by allies while downed
Level 3: MP regenerates at 5x rate",-,-,-
Inorganic,Passive,-,"Level 1: Cannot be controlled. Immune to damage and healing, and prevents Bleedout. Always Rooted.
Level 2: Attributes cannot be lowered
Level 3: Resist all [Debuff] effects",-,-,-
Rupture,Passive,-,"Level 1: Deals 2.5x FCS [Energy] damage to all enemies when Downed.
Level 2: Damage increased by 50% Max MP
Level 3: Damage gains 50% piercing",-,-,-
War,Single - Any,-,"Level 1: Deals 155-205 [Physical] damage. Deals critical damage. Reload after 6 uses.
Level 2: 50% increased hit chance
Level 3: Deals 35% increased damage",-,-,-
Peace,Single - Any,-,"Level 1: Deals 135-185 [Physical] damage. Cannot be countered. Reload after 6 uses.
Level 2: 50% increased hit chance
Level 3: Also deals [Stun] damage",-,-,-
Deadeye,Passive,-,"Level 1: Increase hit chance with [Ranged] skills by 100%.
Level 2: Critical damage increased by 35% of hit chance
Level 3: Pierce defenses equal to 25% of hit chance",-,-,-
Warmonger,Self,36,"Level 1: Stance. Automatically use Peace after using War.
Level 2: War and Peace have a 25% chance to not cost ammo
Level 3: Damage increased by up to 35% based on target's missing HP",-,-,-
Overwatch,Self,36,"Level 1: Stance. Automatically counter with Peace when an ally is targeted by an enemy stance.
Level 2: Counter has a 35% chance to interrupt non-boss enemy's skill
Level 3: Combat Roll reloads War and Peace",-,-,-
Leadstorm,All - Party,-,"Level 1: Use War until out of ammo. Tech is halved. Charges after using War or Peace.
Level 2: Deal 25% increased damage while active
Level 3: Increases Tech by 5% for every shot fired",-,-,-
Combat Roll,Single - Any,-,"Level 1: Bonus Action. Swap position with an ally and gain a Free Turn. Charges over time and charge time increases with each use.
Level 2: Dispel 2 [Debuff] effects
Level 3: Heal for 25% of missing HP",-,-,Kate's Duster
Order Imp,Single - Any,-,"Level 1: Command a bound Imp to use one of their skills.
Level 2: Imps gain an additional skill
Level 3: Imps gain an additional skill",-,-,-
Binding Ritual,Self,-,"Level 1: Access the Imp Binding skills.
Level 2: Increase Imp attributes by 35% of Dave's Wisdom.
Level 3: Imps always hit with skills",-,-,-
Red Imp,Self,-,"Level 1: Channel to bind a Red Imp next turn.
Level 2: N/A
Level 3: N/A",-,-,-
Dark Imp,Self,-,"Level 1: Channel to bind a Dark Imp next turn.
Level 2: N/A
Level 3: N/A",-,-,-
Mage Imp,Self,-,"Level 1: Channel to bind a Mage Imp next turn.
Level 2: N/A
Level 3: N/A",-,-,-
Guard Imp,Passive,-,"Level 1: Bound Imp takes 35% of incoming damage.
Level 2: Imp takes 50% of incoming damage
Level 3: Imp counter attacks when hit",-,-,-
Impetus,Passive,-,"Level 1: Bound Imp gains 50% turn progress at the end of Dave's turn.
Level 2: Increases Imp's Speed by 100 for 1 turn
Level 3: Imp heals for 25% of missing HP",-,-,-
Hellish Vigor,Passive,-,"Level 1: Adds up to 1x Dave's Focus to Bound Imp's damage for 3 turns after binding. 
Level 2: Imp deals 50% increased damage
Level 3: Imp always deals critical damage",-,-,-
Sulfuric Residue,Passive,-,"Level 1: Gain 1 stack of Demon Shield after binding an Imp.
Level 2: Gain 2 stacks
Level 3: Gain 3 stacks",-,-,-
Implosion,Self,-,"Level 1: Bonus Action. Sacrifice Bound Imp to deal damage to all enemies. Cannot have Hellish Vigor.
Level 2: Heal for 25% of your Imp's HP
Level 3: Dispel all [Debuff] effects",-,-,-
Soultap,Self,-,"Level 1: Converts MP into restored missing HP.
Level 2: Converts at 35% improved rate
Level 3: Conversion doubled when critical",-,-,Dark Sigil
Shape Rune,Self,-,"Level 1: Bonus Action. Create a Rune, ready to Imbue with an effect.
Level 2: Imbued effect power increased by 10% for each Rune applied to ally
Level 3: Damage dealt by ally with Rune gains 35% piercing",-,-,-
Sword Rune,Self,?,"Level 1: Triggers after using an [Attack] skill. Hits one target for 1.5x Imbued effect.
Level 2: N/A
Level 3: N/A",-,-,-
Shield Rune,Self,?,"Level 1: Triggers after being hit. Hits adjacent allies or enemies for 1.5x Imbued effect.
Level 2: N/A
Level 3: N/A",-,-,-
Swift Rune,Self,?,"Level 1: Triggers at start of turn. Hits one target for 2x Imbued effect.
Level 2: N/A
Level 3: N/A",-,-,-
Cloak Rune,Self,?,"Level 1: Triggers after dodging. Hits adjacent allies or enemies for 1.5x Imbued effect.
Level 2: N/A
Level 3: N/A",-,-,-
Imbue Rune,Single - Any,-,"Level 1: Add an effect to current Rune, and apply to an ally. Effect loses 25% strength on trigger.
Level 2: Only loses 20% strength on trigger
Level 3: Always at least 35% effective",-,-,-
Heal,Single - Any,?,"Level 1: Heals self for 1.5x Focus when triggered.
Level 2: N/A
Level 3: N/A",-,-,-
Energy,Single - Any,?,"Level 1: Deals 1.5x Focus [Energy] damage to an enemy when triggered.
Level 2: N/A
Level 3: N/A",-,-,-
Sonic,Single - Any,?,"Level 1: Deals 1.5x Focus [Sonic] damage to an enemy when triggered.
Level 2: N/A
Level 3: N/A",-,-,-
Stun,Single - Any,?,"Level 1: Deals 1.5x Focus [Stun] damage to an enemy when triggered.
Level 2: N/A
Level 3: N/A",-,-,-
Arcane Wisdom,Passive,-,"Level 1: Adds 25% of Wisdom to Focus. Adds up to 0.5x Wisdom [Energy] damage to [Spell] hits.
Level 2: Adds 25% of Wisdom to Discipline
Level 3: Damage ignores defenses",-,-,-
Infused Robe,Passive,-,"Level 1: Gain Spellscreen at the start of Emmy's turn.
Level 2: Spellscreen has 2x absorption on Emmy
Level 3: Emmy's Spellscreen now blocks damage from all hit types",-,-,-
Runecarving,Passive,-,"Level 1: Rune effects last forever and cannot be dispelled.
Level 2: Runes decrease damage taken by 10%
Level 3: Runes increase all attributes by 15%",-,-,-
Refresh,Self - Party,-,"Level 1: Bonus Action. Restores strength of Rune effects. Charges over time.
Level 2: Restores 1x Focus MP for each Rune
Level 3: Heals 1x Focus for each Rune",-,-,-
Gadget Kit,Self,-,"Level 1: Access Gadget Kit.
Level 2: Kit's Gadgets become level 2
Level 3: Kit's Gadgets become level 3",-,-,-
Dynamite,Cross - Any,?,"Level 1: Deals 100-150 [Physical] and 50-70 [Fire] damage to target enemies. One use.
Level 2: Three uses
Level 3: Hits all enemies",-,-,-
Glue Bomb,Single - Any,?,"Level 1: Decreases target Speed and Agility by 50% and target is Rooted for 3 turns. 1 use.
Level 2: Non-boss target loses all current turn progress
Level 3: 35% chance to interrupt target's skills",-,-,-
Healing Tonic,Single - Any,?,"Level 1: Heals target for 50% Max HP, but target has a 35% chance to lose control. Three uses.
Level 2: Decreases [Stun] damage taken by 25%
Level 3: Increases Power and Toughness by 15%",-,-,-
Upgrade Mech,Self,-,"Level 1: Access skills that improve your Steam Mech.
Level 2: Can use Pneumatics skill
Level 3: Can use Polishing skill",-,-,-
Multi Shot,Self,?,"Level 1: Boltgun hits enemies in an area while in Steam Mech.
Level 2: N/A
Level 3: N/A",-,-,-
Sharpen,Self,?,"Level 1: Boltgun gains 50% piercing while in Steam Mech.
Level 2: N/A
Level 3: N/A",-,-,-
Heavy Armor,Self,?,"Level 1: Grants shield equal to 5x Focus when in Steam Mech.
Level 2: N/A
Level 3: N/A",-,-,-
Pneumatics,Self,?,"Level 1: Adds Speed equal to 50% of current MP while in Steam Mech.
Level 2: N/A
Level 3: N/A",-,-,-
Polishing,Self,?,"Level 1: Only lose 150 MP per turn while in Steam Mech.
Level 2: N/A
Level 3: N/A",-,-,-
Steam Tanks,Passive,-,"Level 1: Maximum MP is set to 750, and gain 250 MP per turn when not in Steam Mech. Negates MP damage and healing.
Level 2: Max MP increased to 900, and gain 300 MP per turn
Level 3: Increases Speed by up to 25% based on current MP when not in Steam Mech",-,-,-
Ingenuity,Passive,-,"Level 1: Reduces MP cost of all skills to 0.
Level 2: Damage and healing increased by 20% for all [Gadget] skills
Level 3: Decreases turn delay of [Gadget] skills by 15%.",-,-,-
Analysis Goggles,Passive,-,"Level 1: Can view enemy HP, MP, and Attributes in the status menu.
Level 2: Increases critical hit chance of [Gadget] skills by 50%
Level 3: Increases hit chance of [Gadget] skills by 50%",-,-,-
Steam Mech,Self,0,"Level 1: Bonus Action. Enter Mech and Gain Boltgun and Eject skills, but lose 250 MP every turn. Requires max MP.
Level 2: Damage taken decreased by 35% while in Steam Mech
Level 3: All attributes increased by 50% while in Mech",-,-,-
Boltgun,Single - Any,-,"Level 1: Deals 0.66x MP [Power] damage to target enemy.
Level 2: N/A
Level 3: N/A",-,-,-
Eject,Single - Any,-,"Level 1: Bonus Action. Exit your Steam Mech.
Level 2: N/A
Level 3: N/A",-,-,-
Stoke Fire,Self,-,"Level 1: Restore 100 MP and Increases Max MP by 100 for 3 turns. Stacks.
Level 2: Restore 25 MP per turn per stack
Level 3: Becomes a Bonus Action",-,-,-
Vent Steam,Self,-,"Level 1: Lose 100 MP. Heal self for 50% Max HP.
Level 2: Dispel three [Debuff] effects on self
Level 3: Extend duration of self-applied [Buff] effects by 1 turn",-,-,-
Bite,Single - Melee,-,"Level 1: Deals 0.5x Power [Physical] damage 3 times.
Level 2: Each hit deals 0.5x Power [Physical] damage over time for 2 turns. Stacks.
Level 3: Each hit decreases [Healing] received by 35% for 2 turns",-,-,-
Bat Swarm,All - Party,-,"Level 1: Deals 0.45x Power [Physical] damage to enemies. Charges over time.
Level 2: 35% chance to hit again
Level 3: 35% chance to hit again",-,-,-
Exsanguinate,Single - Any,58,"Level 1: Deals 2.5x Power [Physical] damage to target critical enemy. Fully restore HP if target is downed by Exsanguinate.
Level 2: Always deals critical damage
Level 3: Cannot miss",-,-,-
Dark Bond,Single - Any,83,"Level 1: Transfers 50% of taken damage to target as Dark damage. Only one active at a time.
Level 2: Steals 35% of healing received from target
Level 3: Damage transferred increased by 25%",-,-,Edgard's Cape
Clobber,Single - Melee,-,"Level 1: Deals 1.5x Power [Physical] and [Stun] damage to target enemy, and 1x Power [Stun] damage to self. 20% decreased chance to hit.
Level 2: Deals 35% increased damage to targets with lower HP
Level 3: Deals 50% increased damage on a critical hit",-,-,Tank's Glove
Resolve,Passive,-,"Level 1: Toughness increased by +15 when hit or taking self damage. Stacks up to 1- times.
Level 2: Endurance increased by +10 per stack
Level 3: Critical hit chance increased by 25% per stack",-,-,-
Lead Fists,Passive,-,"Level 1: Gain a stack of Resolve when missing with a [Melee] skill hit.
Level 2: [Melee] skills deal 35% increased critical hit damage
Level 3: Adds up to 0.35x Toughness to [Melee] skill hits",-,-,-
Heavyweight,Passive,-,"Level 1: Cannot be shifted by enemy skills.
Level 2: Healing received increased by 25%
Level 3: 25% increased damage dealt against enemies with lower Toughness",-,-,-
Body Blows,Single - Melee,36,"Level 1: Deals 0.75x Power [Physical] damage to target enemy 2 times.
Level 2: Also deals [Stun] damage
Level 3: Reset target's current turn progress to zero if both hits land",-,-,-
Beat Down,Single - Melee,90,"Level 1: Deals 0.6x Power [Physical] damage to target enemy. Hits once for each stack of Resolve. Lose all Resolve stacks.
Level 2: Also deals 0.6x Power [Stun] damage per hit
Level 3: Lose all but 3 stacks of Resolve",-,-,-
Swipe,Single - Melee,-,"Level 1: Deals 1x Power [Physical] damage to target.
Level 2: Ignores 50% of target Toughness and Discipline
Level 3: 50% chance to apply additional Neurotoxin [Debuff]",-,-,-
Take Root,Self,-,"Level 1: Become Rooted, unable to be shifted. Increases TGH by 40%, but cannot dodge. Can be toggled.
Level 2: Restores 15% Max HP after each turn
Level 3: Becomes a Bonus Action",-,-,-
Cerean DNA,Passive,-,"Level 1: Healing from sources other than Echinos is reduced by 90%.
Level 2: Immune to [Poison] damage and effects from [Poison] skills
Level 3: Dispel up to 3 [Debuff] at the start of turn",-,-,-
Neurotoxin,Passive,-,"Level 1: Apply stack to target on [Attack] skill hits. Target takes 10% Max HP [Poison] damage after each turn for 3 turns.
Level 2: Target agility reduced by 15% per stack
Level 3: Target speed reduced by 15% per stack",-,-,-
Sharp Needles,Passive,-,"Level 1: When hit by a [Melee] attack, return 1.25x Toughness [Physical] damage to attacker.
Level 2: Returned damage can critically hit
Level 3: Apply Neurotoxin [Debuff] to attacker",-,-,-
Bloom,Self,30,"Level 1: Taunts a random enemy, forcing them to target Echinos for 3 turns.
Level 2: Heals all allies' HP and MP for 0.25x Focus
Level 3: If Take Root is active, MP cost 0 and triggers automatically at end of turn",-,-,-
Needle Volley,Single - Any,48,"Level 1: Deals 0.45x Toughness [Physical] damage 2 times to target.
Level 2: Damage ignores defenses
Level 3: Hits 3 times",-,-,Cactus Trimming
Needle Barrage,All - Party,-,"Level 1: Deals 1x Toughness [Physical] damage to all enemies. Four turn charge. Cannot miss.
Level 2: Charges twice as fast if Take Root is active
Level 3: Damage ignores defenses",-,-,-
H4RM Beam,Single - Any,-,"Level 1: Deals 0.75x POW and 0.75x FCS [Physical] damage to the lowest health enemy.
Level 2: Deals 50% as [Physical] damage over time for three turns
Level 3: Reduced turn delay after use",-,-,H4RM Emitter
Overclock,Self,-,"Level 1: Restores 20% Max HP and increases Speed by 100% for 2 turns. 3 turn charge.
Level 2: Increases damage and healing of next skill used by 25%
Level 3: EXU-5's next skill counts as a Bonus Action",-,-,-
AutoDestroy,Passive,-,"Level 1: Automatically acts in battle. Immune to [Stun] and [Sleep] damage.
Level 2: Increases Speed by 100% when an enemy is critical HP
Level 3: 50% chance to gain a Free Turn when an enemy is Downed",-,-,-
Legacy Code,Passive,-,"Level 1: Skills granted by Relics deal 25% increased damage and healing.
Level 2: Increases [Gadget] skill uses by 1
Level 3: Skills granted by Relics have 25% reduced turn delay",-,-,-
K1-LL Beam,Single - Any,45,"Level 1: Deals 2.5x Power [Energy] damage to target critical HP enemy. Cannot miss.
Level 2: Always a critical hit
Level 3: Ignores target defenses",-,-,-
Service Pistol,Single - Any,-,"Level 1: Deals 135-170 [Physical] damage to target. Reload after 9 uses.
Level 2: Damage always critical when 3 or fewer shots remain
Level 3: Deals 50% increased damage to critical HP enemies",-,-,-
First Responder,Passive,-,"Level 1: Gain 50% increased Speed if an ally is critical HP.
Level 2: Automatically use Protect on critical HP allies, if possible
Level 3: Gain a Free Turn when an non-summon ally is Downed",-,-,-
Serve,Passive,-,"Level 1: Protected allies gain 20% of Daniela's attributes.
Level 2: Protected allies gain 25% increased [Healing]
Level 3: Use MP to counter with Pistol when Protected ally is targeted.",-,-,-
Incorruptible,Passive,-,"Level 1: Resist all Taunt and Charm enemy effects.
Level 2: Immune to [Sleep] damage
Level 3: Start battle with 3 Resist",-,-,-
Stun Gun,Single - Any,-,"Level 1: Deals 250-350 [Stun] damage to target enemy.
Level 2: Deals 50% of [Stun] damage dealt as damage over time for 3 turns
Level 3: Also deals 100-150 [Lightning] damage",-,-,-
Call Backup,Self,112,"Level 1: Summon a random reserve party member with full stamina for 3 turns.
Level 2: MP cost decreased by 25%
Level 3: Lasts 5 turns",-,-,-
Weapons Platform,Passive,-,"Level 1: Arms Chain Laser automatically at start of battle.
Level 2: [Attack] skills deal 25% increased damage
Level 3: Critical hits deal 50% increased damage",-,-,-
Arsenal,Self,-,"Level 1: Activate various integrated weapons, replacing primary attack skill.
Level 2: Can use Missile Pod and Rail Cannon weapons
Level 3: Arming a weapon becomes a Bonus Action",-,-,-
Arm Chain Laser,Self,?,"Level 1: Arms a Chain Laser that deals [Energy] damage with reduced turn delay per use.
Level 2: N/A
Level 3: N/A",-,-,-
Arm Flmthrower,Self,?,"Level 1: Arms a Flamethrower that deals [Fire] damage and adds burning to enemies in a column.
Level 2: N/A
Level 3: N/A",-,-,-
Arm Missile Pod,Self,?,"Level 1: Arms a Missile Pod that deals [Physical] damage randomly 8-12 times.
Level 2: N/A
Level 3: N/A",-,-,-
Arm Rail Cannon,Self,?,"Level 1: Arms a Rail Cannon that deals piercing [Physical] damage.
Level 2: N/A
Level 3: N/A",-,-,-
Cybernetics,Passive,-,"Level 1: 50% reduced [Healing] and MP healing received from sources other than self.
Level 2: Adds up to 10% current MP [Energy] damage to hits with [Attack] skills
Level 3: 50% reduced Stamina loss when traveling through conduit space",-,-,-
Titanium Bones,Passive,-,"Level 1: Reduce [Physical] and [Stun] damage taken by 50%
Level 2: Endurance increased by 25%
Level 3: Power and Toughness cannot be reduced below base",-,-,-
Targeting Systems,Passive,-,"Level 1: Can view enemy HP, MP, and Attributes in the status menu.
Level 2: Cannot miss enemy targets who are in the front row
Level 3: Critical hit chance doubled",-,-,-
Reserve Battery,Passive,-,"Level 1: Doubles MP Regeneration per turn.
Level 2: Restores 5-10% Max HP at the start every turn
Level 3: Once per battle, skip the turn after being downed to revive self at 50% HP",-,-,Biotic Battery
Chain Laser,Cross - Any,-,"Level 1: Deals 0.5x Power [Energy] damage up to 4 times in an area. Reload after 6 uses.
Level 2: N/A
Level 3: N/A",-,-,-
Flamethrower,Column - Any,-,"Level 1: Deals 1x Power [Fire] damage and 0.5x Power [Fire] damage every turn for 3 turns.
Level 2: N/A
Level 3: N/A",-,-,-
Missile Pod,All - Party,-,"Level 1: Deals 0.35x Power [Physical] damage ro random enemy targets 8-12 times. Long turn delay.
Level 2: N/A
Level 3: N/A",-,-,-
Rail Cannon,Single - Any,-,"Level 1: Deals 2x Power [Physical] damage to target, ignoring defenses. Cannot miss.
Level 2: N/A
Level 3: N/A",-,-,-
Wind Cutter,Single - Any,-,"Level 1: Deals 1x Power [Physical] damage to target enemy.
Level 2: Also deals 1x Focus [Lightning] damage
Level 3: Always hits",-,-,-
Goading Strike,Single - Melee,-,"Level 1: Deals 1.35x Power [Physical] damage and Taunts target.
Level 2: Damage increased by 15%
Level 3: Damage increased by an additional 15%",-,-,-
Rising Flame,Single - Any,-,"Level 1: Deals 1x Power [Physical] damage to target.
Level 2: Also deals 1x Agility [Fire] damage
Level 3: Turn delay decreased by 50%",-,-,-
Falling Leaf,All - Party,-,"Level 1: Deals 1.35x Discipline [Physical] damage to random enemy targets 8 times
Level 2: Also deals [Lightning] damage
Level 3: N/A",-,-,-
Great Shell,All - Party,-,"Level 1: Blocks up to 5x Discipline damage taken from hits for party.
Level 2: Reduced damage taken by 35% while active
Level 3: Hits have a 35% chance to miss allies while active",-,-,-
Foxfire,Single - Any,-,"Level 1: Strongest enemy takes 1x Discipline + 75% missing HP [Fire] damage.
Level 2: Heals allies for 75% of missing HP
Level 3: Restores 50% of allies' mising MP",-,-,-
Card Throw,Single - Any,-,"Level 1: Deals 1.0x Technique [Physical] damage to target enemy. More effects based on chosen suit.
Level 2: Deals 50% of damage as [Physical] damage over time for 3 turns, up to 3 stacks
Level 3: Deals double critical hit damage",-,-,-
Clubs,Single - Any,?,"Level 1: Damage dealt increased by 50%.
Level 2: N/A
Level 3: N/A",-,-,-
Diamonds,Single - Any,?,"Level 1: Turn delay decreased by 50%.
Level 2: N/A
Level 3: N/A",-,-,-
Hearts,Single - Any,?,"Level 1: Heal self for 50% of damage dealt.
Level 2: N/A
Level 3: N/A",-,-,-
Spades,Row - Any,?,"Level 1: Damage decreased by 50%, but hits all targets in the row.
Level 2: N/A
Level 3: N/A",-,-,-
Roll Dice,Self,-,"Level 1: Bonus Action. Trust in fate and roll the dice for a random effect. Damage output based on Technique.
Level 2: Damage and healing from roll effects increased by 25%
Level 3: Heal self for 25% max HP when either die is a 6",-,-,-
Nine Lives,Passive,-,"Level 1: 100% chance to survive fatal damage with 1 HP. Chance decreased by 10% each time it triggers.
Level 2: Restores 50% Max HP when revived
Level 3: Bleedout time increased by 2 turns",-,-,-
Nimble,Passive,-,"Level 1: Agility increased by 25% when hit. Stackable. All stacks are lost when you dodge.
Level 2: Adds an extra chance to try to dodge
Level 3: Gain 15% turn progress when you dodge",Acrobatics,-,-
Gambler's Luck,Passive,-,"Level 1: Critical hit chance increased by 25% when dealing non-crit damage. Stackable. All stacks lost when landing a crit.
Level 2: Increased to 35% per stack
Level 3: Critical hit damage increased by 50%",-,-,Chance's Vest
Quick Hands,Passive,-,"Level 1: [Attack] and [Gadget] skills cannot miss.
Level 2: Landing a critical hit has a 20% chance to grant a Free Turn
Level 3: Speed increased by 25% of Technique",-,-,-
Stun Grenade,Cross - Any,-,"Level 1: Deals 250-350 [Stun] damage to target enemies. One use.
Level 2: 2 uses
Level 3: 3 uses",-,-,-
Jinx,Single - Any,30,"Level 1: Target's chance to hit decreased by 50% for 3 turns.
Level 2: Target cannot dodge
Level 3: All hits on target become critical",-,-,-
Set Dice,Self,-,"Level 1: Set outcome of next use of Roll Dice.
Level 2: 25% decreased turn delay
Level 3: MP cost decreased by 25%",-,-,-
3: Smiling Fortune,Self,-,"Level 1: Heals all allies for 50% max HP, or revive them at 25% if downed.
Level 2: N/A
Level 3: N/A",-,-,-
4: Luck's Blessing,Self,-,"Level 1: Restore 100% of a random ally's HP and MP and grant them a Free Turn.
Level 2: N/A
Level 3: N/A",-,-,-
5: Lucky Charm,Self,-,"Level 1: Restore 50% of lowest HP pct ally's HP and MP.
Level 2: N/A
Level 3: N/A",-,-,-
6: Feeling Lucky,Self,-,"Level 1: Heal self for 50% HP and MP.
Level 2: N/A
Level 3: N/A",-,-,-
7: Hard Luck,Self,-,"Level 1: Deals 1.25x Technique [Dark] damage to a random enemy.
Level 2: N/A
Level 3: N/A",-,-,-
8: Cursed Luck,Self,-,"Level 1: Casts Lv 3 Curse on 2 random enemies.
Level 2: N/A
Level 3: N/A",-,-,-
9: Break a Leg,Self,-,"Level 1: Uses Lv 3 Break Bones on 2 random enemies.
Level 2: N/A
Level 3: N/A",-,-,-
10: Knock em Dead,Self,-,"Level 1: Deals 3x Technique [Dark] damage to a random enemy.
Level 2: N/A
Level 3: N/A",-,-,-
11: Big Break,Self,-,"Level 1: Casts Void Blast on all enemies.
Level 2: N/A
Level 3: N/A",-,-,-
12: Shooting Star,Self,-,"Level 1: Casts Meteor Strike on all enemies.
Level 2: N/A
Level 3: N/A",-,-,-
Gladius,Single - Melee,-,"Level 1: Deals 1.25x Power [Physical] damage to target. Increases AGI by 25% for one turn. Shift to front row.
Level 2: Damage gains 50% piercing 
Level 3: Decreases target's [Healing] received by 50% for 3 turns.",-,-,-
Disengage,Self,-,"Level 1: Heals self for 40% Max HP and shift to back row. Must be in front row.
Level 2: The next incoming hit always misses
Level 3: Restores 1 use of Javelin and Rete",-,-,-
Parmula,Passive,-,"Level 1: 50% chance to use MP to negate [Physical] hits taken.
Level 2: Counter with Gladius if Parmula negates damage
Level 3: Counter with Gladius if any hit is dodged",-,-,-
Martial Prodigy,Passive,-,"Level 1: Viggo's first [Attack] skill hit on a target cannot miss and is always critical.
Level 2: Adds 50% of Technique to Discipline
Level 3: Adds up to 0.5x Discipline damage to [Attack] hits",-,-,Viggo's Gladius
Iron Will,Passive,-,"Level 1: Take 50% decreased damage when at critical HP.
Level 2: Take 50% decreased [Stun] and [Sleep] damage
Level 3: Once per battle, revive self at 50% HP the turn after being downed",-,-,-
Vitality,Passive,-,"Level 1: Start battle with 3 Resist stacks.
Level 2: Stamina has 50% decreased effect on Toughness
Level 3: Stamina has 50% decreased effect on Endurance",-,-,-
Javelin,Single - Any,-,"Level 1: Deals 1.35x Power [Physical] damage to target enemy. 3 uses.
Level 2: Deals 50% increased critical damage
Level 3: Always hits",Throw Spear,-,-
Rete,Single - Any,-,"Level 1: Deals 150-200 [Stun] damage for 3 turns. One use.
Level 2: 35% chance for non-boss target's turn to be interrupted
Level 3: Target cannot dodge",-,-,-
Doom Prophecy,Self,-,"Level 1: A random enemy takes 3x Focus [Holy] damage after 3 turns. Stackable 10 times.
Level 2: Enemy's [Healing] received decreased by 10% per stack
Level 3: Enemy takes 0.2x Focus [Holy] damage per turn per stack",-,-,-
Nirvana,Single - Any,-,"Level 1: Target ally is healed for 3x Focus HP after 3 turns. Stackable 5 times.
Level 2: Target is healed for 0.25x Focus per turn
Level 3: If target takes fatal damage, remove stack and survive with 1 HP",-,-,-
Pacifist,Passive,-,"Level 1: Cannot directly target enemies.
Level 2: Applies a stack of Doom Prophecy to enemies that hit Sandeep
Level 3: Applies a stack of Nirvana to allies that directly heal Sandeep",-,-,-
Mantra,Passive,-,"Level 1: Increases Focus by +15 before every turn.
Level 2: Restores 5% of max HP at the start of urn
Level 3: Gain 1 Resist every turn",-,-,Guru's Beads
Samadhi,Passive,-,"Level 1: Stamina does not affect Focus or Discipline.
Level 2: Gain 25% of Focus as Discipline
Level 3: Gain 25% of Discipline as Focus",-,-,-
Third Eye,Passive,-,"Level 1: Can view enemy HP, MP, and Attributes in the status menu.
Level 2: Dodge chance increased by 35%
Level 3: Applies 2 stacks of Doom Prophecy to enemy after dodging",-,-,-
Faith Healing,Single - Any,56,"Level 1: Dispels up to 3 [Debuff] on target.
Level 2: Heals target for 0.5x Focus HP for each [Debuff] dispelled
Level 3: Target gains 1 stack of Nirvana for each [Debuff] dispelled",-,-,-
Strike Fear,Single - Any,-,"Level 1: Deals 1.5x Focus [Stun] damage to target.
Level 2: Target non-boss loses 50% of current turn progress
Level 3: Target is shifted to the back row",-,-,Inquisitor's Mask
Imperative,Single - Any,-,"Level 1: Sacrifice 20% of current HP. Fortified ally gains a Free Turn. 4 turn charge.
Level 2: Ally restores 20% Max MP
Level 3: 3 turn charge",-,-,-
Psionic Shield,Passive,-,"Level 1: Immune to [MP] damage.
Level 2: Start battle with 1 Resist and gain 1 Resist every turn
Level 3: Wisdom and Discipline cannot be reduced below base",-,-,-
Fortify,Passive,-,"Level 1: Ally directly in front of Haven gains 35% of Haven's attributes.
Level 2: Ally's MP regen is doubled
Level 3: Ally gains 1 Resist per turn",-,-,-
The Greater Good,Passive,-,"Level 1: When Haven sacrifices HP, restore .25x Focus MP to all allies.
Level 2: Heal all allies for .5x Focus HP
Level 3: Fortified ally gains 20% turn progress",-,-,-
Venerated,Passive,-,"Level 1: Fatal direct enemy damage taken by Haven is redirected to Fortified ally, if possible.
Level 2: 25% of all damage taken is redirected, if possible
Level 3: If downed, all allies restore 50% of HP and MP",-,-,-
Dominate Mind,Single - Any,161,"Level 1: Sacrifice 20% of current HP. Target non-boss enemy cannot act for 3 turns. Long turn delay.
Level 2: Target takes 25% increased damage
Level 3: Nullifies [Healing] on target",-,-,-
Invigorate,Single - Any,182,"Level 1: Restores 1.5x Focus MP to target ally. +50% to Fortified ally.
Level 2: Also restores 1.5x Focus HP
Level 3: Dispels all [Debuff]",-,-,-
Directive,Single - Any,-,"Level 1: Directs KillBot to target an enemy and grants it a Free Turn.
Level 2: Increases KillBot damage by 35% against target
Level 3: KillBot ignores target's defense",-,-,-
